Job Title;Rating;Company Name;Type of ownership;Industry;Sector;Revenue;Competitors;Hourly;Glassdoor estimates;Employer estimates;Employer provided;Min Salary Estimate;Max Salary Estimate;Average Salary Estimate;Location City;Location State;Headquarters City;Headquarters State;Same state;Same city;Size Ordinal Encoding;Age Company;AWS;Python;Master degree;Bachelor degree;PHD
Senior Data Analyst;2.9;National Student Clearinghouse;Nonprofit Organization;Colleges & Universities;Education;$25 to $50 million (USD);Ellucian, Parchment, College Board;0;1;0;0;43.0;80.0;61.5;Herndon; VA;Herndon; VA;1;1;3.0;29;0;1;0;0;0
Medical Lab Scientist;3.6;Tower Health;Nonprofit Organization;Health Care Services & Hospitals;Health Care;Unknown / Non-Applicable;-1;1;1;0;0;17.0;24.0;20.5;West Reading; PA;Reading; PA;1;0;6.0;5;0;0;0;1;0
Risk and Analytics IT, Data Scientist;2.7;State of Wisconsin Investment Board;Government;Investment Banking & Asset Management;Finance;$50 to $100 million (USD);-1;0;1;0;0;91.0;149.0;120.0;Madison; WI;Madison; WI;1;1;2.0;71;0;1;0;1;0
Scientist, Analytical Development;4.4;Rubius Therapeutics;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$100 to $500 million (USD);-1;0;1;0;0;42.0;82.0;62.0;Cambridge; MA;Cambridge; MA;1;1;3.0;9;0;0;0;0;1
Senior Data Scientist;4.0;Autodesk;Company - Public;Computer Hardware & Software;Information Technology;$2 to $5 billion (USD);-1;0;1;0;0;116.0;185.0;150.5;San Francisco; CA;San Rafael; CA;1;0;6.0;40;0;1;0;0;1
Analytics Manager;4.3;OneMagnify;Company - Private;Advertising & Marketing;Business Services;Unknown / Non-Applicable;-1;0;1;0;0;59.0;116.0;87.5;Dearborn; MI;Detroit; MI;1;0;3.0;55;0;0;0;0;0
Data Engineer;4.2;IZEA;Company - Public;Advertising & Marketing;Business Services;$25 to $50 million (USD);Linqia, Collective Bias;0;1;0;0;48.0;95.0;71.5;Winter Park; FL;Winter Park; FL;1;1;2.0;16;1;1;0;0;0
Digital Marketing & ECommerce Data Analyst;3.6;Vionic Group;Subsidiary or Business Segment;Department, Clothing, & Shoe Stores;Retail;$100 to $500 million (USD);-1;0;1;0;0;31.0;72.0;51.5;San Rafael; CA;San Rafael; CA;1;1;2.0;16;0;0;0;0;0
Sr. Scientist - Digital & Image Analysis/Computational Pathology;3.7;Takeda Pharmaceuticals;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer;0;1;0;0;105.0;198.0;151.5;San Diego; CA;OSAKA; Japan;0;0;7.0;241;0;0;0;0;1
Senior Data Analyst;2.8;Dodge Data & Analytics;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable;-1;0;1;0;0;55.0;100.0;77.5;Hamilton; NJ;Hamilton; NJ;1;1;3.0;8;0;1;0;1;0
Principal Scientist - Immunologist;3.7;Takeda Pharmaceuticals;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer;0;1;0;0;98.0;182.0;140.0;Boston; MA;OSAKA; Japan;0;0;7.0;241;0;0;0;0;1
Senior Data Scientist;3.3;Plymouth Rock Assurance;Company - Private;Insurance Carriers;Insurance;$10 to $25 million (USD);Arbella Insurance, Safety Insurance;0;1;0;0;73.0;124.0;98.5;Woodbridge; NJ;Boston; MA;0;0;5.0;40;0;0;0;0;1
Principal Data Scientist with over 10 years experience;-1.0;CA-One Tech Cloud;Company - Private;IT Services;Information Technology;$5 to $10 million (USD);-1;0;0;0;1;200.0;250.0;225.0;San Francisco; CA;Fremont; CA;1;0;2.0;5;1;1;0;1;0
MED TECH/LAB SCIENTIST - LABORATORY;3.6;Beebe Healthcare;Nonprofit Organization;Health Care Services & Hospitals;Health Care;$100 to $500 million (USD);-1;1;1;0;0;21.0;34.0;27.5;Lewes; DE;Lewes; DE;1;1;5.0;87;0;0;0;0;0
Sr. Scientist, Quantitative Translational Sciences;3.7;Takeda Pharmaceuticals;Company - Public;Biotech & Pharmaceuticals;Biotech & Pharmaceuticals;$10+ billion (USD);Novartis, Baxter, Pfizer;0;1;0;0;117.0;206.0;161.5;Boston; MA;OSAKA; Japan;0;0;7.0;241;0;0;0;0;0
Sr. Data Scientist II;3.4;Argo Group US;Company - Public;Insurance Carriers;Insurance;$1 to $2 billion (USD);-1;0;1;0;0;111.0;183.0;147.0;New York; NY;Hamilton; Bermuda;0;0;5.0;74;1;1;0;0;0
Excel / VBA / SQL Data Analyst;4.1;Associated Electric Cooperative;Company - Private;Energy;Oil, Gas, Energy & Utilities;$1 to $2 billion (USD);-1;0;1;0;0;44.0;78.0;61.0;Springfield; MO;Springfield; MO;1;1;4.0;61;0;0;0;0;0
Machine Learning Research Scientist;2.6;Software Engineering Institute;College / University;Colleges & Universities;Education;Unknown / Non-Applicable;-1;0;1;0;0;81.0;159.0;120.0;Pittsburgh; PA;Pittsburgh; PA;1;1;4.0;38;0;1;0;0;1
VP, Data Science;3.2;PennyMac;Company - Public;Lending;Finance;$500 million to $1 billion (USD);Nationstar Mortgage, Caliber Funding, Quicken Loans;0;1;0;0;83.0;166.0;124.5;Phoenix; AZ;Westlake Village; CA;0;0;5.0;14;0;1;0;0;0
Senior Data Scientist;3.9;Zest AI;Company - Private;Financial Analytics & Research;Finance;$50 to $100 million (USD);-1;0;1;0;0;114.0;182.0;148.0;Burbank; CA;Burbank; CA;1;1;2.0;13;0;1;0;0;1
